ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,jdate,j_h,h_k,j_k
354.418059,81.345543,0.07,0.06,0,23374033+8120439,6.568,0.013,0.021,66869.8,6.003,0.021,0.026,48162.6,5.893,0.013,0.020,31204.7,AAA,111,111,000,666666,17.0,327,798207882,0,0,2451465.8454,0.5650,0.1100,0.6750
347.997923,83.506813,0.07,0.06,0,23115950+8330245,6.708,0.011,0.020,58780.1,6.011,0.019,0.024,46186.0,5.840,0.013,0.020,32765.7,AAA,111,111,000,777767,26.6,11,798055282,0,0,2451465.7861,0.6970,0.1710,0.8680
335.657629,81.939125,0.06,0.06,90,22223783+8156208,6.189,0.017,0.024,101585.1,6.018,0.037,0.040,50899.1,5.978,0.009,0.017,29869.0,AAA,111,111,000,666666,42.5,278,797766602,0,0,2451465.6594,0.1710,0.0400,0.2110
356.988702,68.595192,0.07,0.06,0,23475728+6835426,7.184,0.025,0.030,42056.2,6.014,0.027,0.031,60717.0,5.540,0.007,0.016,51335.8,AAA,111,111,000,666666,11.7,215,1148414032,0,0,2451716.9337,1.1700,0.4740,1.6440
351.529586,72.604324,0.08,0.07,90,23260710+7236155,7.004,0.017,0.024,46326.6,6.024,0.023,0.027,54238.8,5.694,0.027,0.031,37481.8,AAA,111,111,00d,666656,15.3,117,1126021816,0,0,2451711.9316,0.9800,0.3300,1.3100
355.054647,71.714607,0.08,0.07,90,23401311+7142525,7.017,0.021,0.027,42719.9,6.013,0.027,0.031,46101.0,5.684,0.011,0.018,37828.6,AAA,111,111,000,666666,14.0,146,1187615678,0,0,2451824.8178,1.0040,0.3290,1.3330
354.597219,72.922249,0.07,0.06,0,23382333+7255200,6.717,0.009,0.019,66931.4,6.016,0.029,0.033,64939.7,5.823,0.015,0.021,39556.7,AAA,111,111,000,666666,22.8,247,1148335358,0,0,2451716.9079,0.7010,0.1930,0.8940
351.532449,70.464577,0.06,0.06,90,23260778+7027524,6.998,0.023,0.029,46583.3,6.004,0.027,0.031,46484.7,5.668,0.019,0.024,39739.3,AAA,111,111,000,666666,17.3,54,1177327690,0,0,2451803.7306,0.9940,0.3360,1.3300
339.357252,76.731827,0.06,0.06,0,22372574+7643545,6.458,0.011,0.020,79292.1,6.014,0.023,0.027,49352.6,5.875,0.011,0.018,32841.3,AAA,111,111,000,666666,19.2,290,747390335,0,0,2451462.7582,0.4440,0.1390,0.5830
339.821344,77.737999,0.06,0.06,90,22391712+7744167,6.862,0.011,0.020,54655.0,6.016,0.025,0.029,49261.8,5.820,0.007,0.016,34547.8,AAA,111,111,000,666666,52.1,83,747425322,0,0,2451462.7672,0.8460,0.1960,1.0420
359.230880,75.920280,0.07,0.06,0,23565541+7555130,7.034,0.019,0.026,42056.2,6.011,0.031,0.034,44618.0,5.643,0.009,0.017,39284.4,AAA,111,111,000,666666,21.5,78,1177380906,0,0,2451803.7510,1.0230,0.3680,1.3910
355.070039,75.889420,0.08,0.07,0,23401680+7553219,6.462,0.011,0.020,81776.8,6.020,0.041,0.044,60382.3,5.860,0.039,0.042,36933.5,AAA,111,111,000,666656,21.9,152,1148365891,0,0,2451716.9120,0.4420,0.1600,0.6020
322.006098,74.304642,0.08,0.07,0,21280146+7418167,6.931,0.013,0.021,46241.3,6.004,0.031,0.034,49809.2,5.688,0.021,0.026,37689.5,AAA,111,111,000,666655,18.4,234,1129245387,0,0,2451702.8688,0.9270,0.3160,1.2430
330.159536,74.144882,0.07,0.06,90,22003828+7408415,6.890,0.015,0.023,57072.9,6.009,0.031,0.034,54993.3,5.777,0.011,0.018,38514.1,AAA,111,111,000,566666,29.0,241,747025939,0,0,2451462.6314,0.8810,0.2320,1.1130
320.698592,77.014404,0.08,0.07,0,21224766+7700518,6.916,0.013,0.021,46884.6,6.007,0.027,0.031,51417.4,5.727,0.027,0.031,36359.7,AAA,111,111,000,666666,25.5,208,1129204447,0,0,2451702.8553,0.9090,0.2800,1.1890
263.852885,-13.125498,0.06,0.06,90,17352469-1307317,7.008,0.019,0.026,44589.2,6.027,0.013,0.020,45510.3,5.730,0.027,0.031,40218.0,AAA,111,111,000,666666,14.4,197,1276079336,0,0,2450930.9142,0.9810,0.2970,1.2780
263.402252,-13.240073,0.06,0.06,90,17333654-1314242,6.760,0.009,0.019,54129.0,6.018,0.033,0.036,45889.2,5.792,0.005,0.016,37985.7,AAA,111,111,000,666666,16.0,224,1275967921,0,0,2450930.8948,0.7420,0.2260,0.9680
262.688524,-12.518955,0.06,0.06,90,17304524-1231082,7.106,0.017,0.024,40740.8,6.008,0.035,0.038,46313.8,5.559,0.019,0.024,48732.7,AAA,111,111,000,666666,11.7,257,1275700197,0,0,2450930.8665,1.0980,0.4490,1.5470
264.906960,-13.224591,0.06,0.06,90,17393767-1313285,6.906,0.011,0.020,54328.8,6.005,0.031,0.034,55196.3,5.382,0.011,0.018,57361.4,AAA,111,111,000,676666,16.2,270,1269136045,0,0,2450931.7915,0.9010,0.6230,1.5240
266.267742,-16.461863,0.06,0.06,90,17450425-1627427,6.933,0.011,0.020,47778.2,6.004,0.027,0.031,49809.2,5.644,0.013,0.020,43533.1,AAA,111,111,000,666656,10.8,212,1269761426,0,0,2450931.8585,0.9290,0.3600,1.2890
267.492356,-15.790653,0.06,0.06,90,17495816-1547263,7.092,0.021,0.027,39868.5,6.016,0.031,0.034,45973.8,5.451,0.013,0.020,50236.6,AAA,111,111,000,666655,13.2,111,1270360322,0,0,2450931.9074,1.0760,0.5650,1.6410
266.812107,-15.042145,0.06,0.06,90,17471490-1502317,7.033,0.013,0.021,43574.3,6.017,0.019,0.024,45931.4,5.534,0.015,0.021,48174.8,AAA,111,111,000,666666,12.3,219,1270066957,0,0,2450931.8768,1.0160,0.4830,1.4990
259.914707,-10.292117,0.07,0.06,90,17193952-1017316,6.878,0.011,0.020,59735.2,6.012,0.025,0.029,65179.3,5.744,0.015,0.021,44037.2,AAA,111,111,000,666655,12.4,162,376157522,0,0,2451272.8456,0.8660,0.2680,1.1340
261.359557,-8.828520,0.07,0.06,0,17252629-0849426,6.173,0.017,0.024,110466.4,6.009,0.031,0.034,63140.8,5.901,0.011,0.018,38108.3,AAA,111,111,000,666666,16.0,49,376480844,0,0,2451272.9102,0.1640,0.1080,0.2720
262.139438,-11.424727,0.06,0.06,90,17283346-1125290,7.005,0.025,0.030,56941.6,6.029,0.041,0.044,78942.3,5.591,0.011,0.018,50701.4,AAA,111,111,000,556666,12.5,220,401023880,0,0,2451287.8163,0.9760,0.4380,1.4140
261.820999,-10.433758,0.06,0.06,90,17271703-1026015,6.792,0.013,0.021,66931.4,6.019,0.039,0.042,76968.0,5.752,0.019,0.024,42229.9,AAA,111,111,000,666656,10.1,284,400954293,0,0,2451287.8059,0.7730,0.2670,1.0400
259.107651,-8.984918,0.21,0.06,0,17162583-0859057,6.856,0.011,0.020,49548.4,6.022,0.007,0.016,52494.0,5.767,0.019,0.024,36276.1,AAA,111,111,000,777766,17.4,40,376006695,0,0,2451272.8029,0.8340,0.2550,1.0890
258.806253,-8.618642,0.07,0.07,90,17151350-0837071,6.796,0.009,0.019,69028.8,6.024,0.029,0.033,79306.7,5.772,0.017,0.023,42916.1,AAA,111,111,000,777755,26.7,330,400826402,0,0,2451287.7784,0.7720,0.2520,1.0240
269.444003,-10.898150,0.06,0.06,90,17574656-1053533,7.327,0.017,0.024,38161.9,6.025,0.039,0.042,62217.1,5.181,0.027,0.031,64419.9,AAA,111,111,000,666656,12.8,206,403266412,0,0,2451290.8910,1.3020,0.8440,2.1460
269.452020,-11.207312,0.06,0.06,90,17574848-1112263,7.159,0.013,0.021,44548.2,6.016,0.027,0.031,62735.0,5.593,0.013,0.020,44077.8,AAA,111,111,0dd,666656,11.0,137,403263281,0,0,2451290.8907,1.1430,0.4230,1.5660
265.340475,-8.343882,0.06,0.06,90,17412171-0820379,7.288,0.019,0.026,40947.8,6.024,0.027,0.031,62274.5,5.459,0.017,0.023,51620.2,AAA,111,111,000,777766,13.2,313,1318118984,0,0,2451288.8422,1.2640,0.5650,1.8290
