ra,dec,h_m,prox
45.891089,-6.342425,12.003,97.3
197.297076,59.015015,12.003,98.9
144.891356,47.337250,12.003,95.7
196.518491,55.656067,12.003,95.2
207.891251,4.318772,12.003,81.8
33.188201,-1.722296,12.003,81.9
222.238308,58.724640,12.003,79.1
169.514123,23.035006,12.003,86.6
35.147329,-27.087547,12.003,76.9
186.720874,57.082420,12.003,109.0
224.866629,53.205730,12.003,87.1
204.917476,4.978208,12.003,80.9
33.195289,2.692917,12.003,84.2
216.585956,72.194572,12.003,85.0
172.188905,22.928661,12.003,92.0
28.235940,7.869934,12.003,90.9
28.003191,0.684746,12.003,90.0
2.765328,-37.754253,12.003,78.6
16.704891,-46.584667,12.003,78.5
239.607560,66.722099,12.003,90.0
195.578048,84.311043,12.003,103.8
49.950616,-47.587849,12.003,78.3
193.206176,43.388157,12.003,78.3
30.261708,17.120642,12.003,97.3
20.616810,-12.656210,12.003,89.4
350.233742,13.452366,12.003,80.6
75.530343,-26.409685,12.003,118.2
317.142849,-11.669578,12.003,82.1
163.449561,4.774165,12.003,83.0
3.280899,3.824236,12.003,107.9
147.843535,13.380820,12.003,85.9
155.165036,29.812199,12.003,78.5
215.242077,34.174454,12.003,143.6
340.834323,-6.744557,12.003,81.2
170.068070,71.796860,12.003,85.9
22.521813,21.757385,12.003,80.2
346.303396,4.754653,12.003,86.1
154.153667,64.041412,12.003,92.1
12.639872,8.226938,12.003,107.8
34.612972,-6.183586,12.003,79.3
178.153639,54.021034,12.003,85.1
57.322284,-51.398388,12.003,79.9
13.401107,-17.105246,12.003,94.0
52.378999,9.587863,12.003,93.5
208.856760,64.482895,12.003,78.5
18.678615,24.248177,12.003,85.6
182.047847,14.408577,12.003,88.7
50.231322,-67.925583,12.003,85.1
165.983591,15.816428,12.003,78.6
160.145884,15.149459,12.003,77.3
156.824844,32.288334,12.003,85.2
128.704119,30.322359,12.003,92.4
197.018530,22.846251,12.003,87.4
157.220835,55.998306,12.003,77.5
49.670238,-5.864664,12.003,80.9
120.485124,27.590460,12.003,77.5
327.825596,-20.332632,12.003,77.1
229.599479,-3.895022,12.003,76.1
53.277147,4.176420,12.003,77.7
8.596507,6.589171,12.003,102.4
213.474003,50.936943,12.003,81.6
19.218194,-20.212727,12.003,84.3
156.043545,-15.727412,12.003,78.1
153.682290,55.581032,12.003,80.8
203.633648,15.181634,12.003,100.2
177.256392,27.927431,12.003,84.2
332.800077,-29.536442,12.003,81.0
122.942134,73.382469,12.003,75.9
219.457099,12.347253,12.003,75.2
52.665061,-18.990185,12.003,96.2
1.010433,-9.079549,12.003,111.4
169.327975,41.042377,12.003,75.4
156.607388,23.424786,12.003,111.2
27.285036,-57.096340,12.003,75.8
157.380615,1.706716,12.003,113.2
27.219410,-20.441055,12.003,91.7
29.332102,-9.747658,12.003,100.9
25.519917,15.046685,12.003,81.2
5.701990,-27.687801,12.003,81.5
214.938725,-5.012637,12.003,101.9
228.541421,30.949389,12.003,92.2
342.605019,-34.009590,12.003,87.7
180.098436,19.392420,12.003,78.8
5.239974,-29.321987,12.003,84.5
331.370038,-29.438627,12.004,77.3
5.279688,-37.256588,12.004,94.5
34.277560,2.669955,12.004,101.8
37.004182,-3.359539,12.004,107.1
154.824600,27.735380,12.004,99.1
216.347552,5.676078,12.004,78.7
42.050792,-61.118855,12.004,79.6
195.705270,72.774887,12.004,82.9
146.916232,42.635143,12.004,88.8
357.319112,-48.466820,12.004,79.9
180.292143,28.224051,12.004,107.0
220.601636,34.655682,12.004,78.6
199.481748,61.613766,12.004,88.4
26.785837,3.488568,12.004,85.5
160.530684,30.193293,12.004,91.2
215.786180,46.528706,12.004,127.4
38.615163,-19.258741,12.004,84.4
216.057022,-9.277235,12.004,84.9
155.371285,4.590801,12.004,86.2
158.363201,-1.105544,12.004,86.4
141.183236,63.201389,12.004,80.0
39.167104,17.012226,12.004,91.1
125.408830,31.250389,12.004,80.1
169.610729,13.589627,12.004,75.4
351.040810,2.943502,12.004,84.3
50.209039,-3.552595,12.004,81.5
28.841616,29.118212,12.004,89.4
209.149983,58.722980,12.004,77.9
219.389817,31.719593,12.004,78.7
106.143588,76.999542,12.004,86.4
359.018189,-46.050056,12.004,79.8
7.599276,-9.277491,12.004,75.6
216.862629,43.563038,12.004,78.7
181.190213,9.651966,12.004,117.9
51.033759,-18.140995,12.004,76.9
229.202093,43.319763,12.004,82.7
24.533961,-11.266072,12.004,102.7
21.663967,-17.125235,12.004,82.7
4.055190,-51.270901,12.004,76.8
140.180568,-10.565813,12.004,76.5
197.674003,3.497716,12.004,89.9
118.039639,47.379974,12.004,86.1
158.106496,44.345528,12.004,75.3
215.426037,43.399277,12.004,118.7
158.839050,43.558083,12.004,126.2
345.089803,-12.673911,12.004,86.6
192.435387,5.660227,12.004,84.1
236.613003,78.062057,12.004,85.8
13.833127,-31.862347,12.004,88.2
338.424591,-37.573326,12.004,109.0
0.332244,-37.903458,12.004,105.9
52.209417,-20.223845,12.004,127.0
230.284850,53.526733,12.004,102.7
10.673490,-52.373337,12.004,108.5
139.253912,20.774740,12.004,109.8
7.745109,-37.338070,12.004,90.2
339.253878,-41.635456,12.004,75.7
194.449538,63.031776,12.004,92.0
349.991029,-26.238716,12.004,90.7
351.474091,-21.046412,12.004,93.2
74.582074,-37.441326,12.004,82.7
85.512158,-43.736324,12.004,93.7
199.829211,63.683605,12.004,127.5
250.395379,57.987247,12.004,84.4
195.955734,9.657236,12.004,79.4
344.104667,-69.506187,12.004,97.1
140.087794,29.849514,12.004,78.6
349.783702,-31.983461,12.004,88.8
130.181006,30.324532,12.004,90.9
59.489980,-73.975922,12.004,81.3
191.058509,39.624630,12.004,93.4
15.964119,-29.706244,12.004,80.3
193.326132,-19.993170,12.004,76.9
151.214909,-9.754089,12.004,78.8
358.124238,-19.320751,12.004,78.3
270.030513,70.868370,12.004,79.5
226.354725,59.379192,12.004,103.7
239.164485,5.689664,12.004,76.3
338.252775,-42.844334,12.004,123.1
350.420131,-13.816129,12.004,76.0
11.844966,-24.026264,12.004,105.5
3.030595,9.491817,12.004,75.7
198.124712,-19.537487,12.004,77.8
38.956459,-21.410582,12.004,101.3
188.711501,26.856833,12.004,77.5
323.335619,-53.640842,12.004,82.0
55.614018,2.871489,12.004,80.3
35.317140,19.477821,12.004,83.9
26.531314,25.925533,12.004,76.1
8.182098,9.436507,12.004,79.7
43.662036,-8.782990,12.004,106.4
22.347735,-21.003866,12.004,95.4
183.011597,20.502977,12.004,111.0
169.152147,46.789230,12.004,88.8
44.177560,-6.316668,12.004,94.3
14.414293,13.243566,12.004,91.1
63.208241,-17.225733,12.004,88.1
2.550598,-25.477011,12.004,95.8
53.205871,-33.391506,12.004,91.6
147.274138,-6.158007,12.004,89.1
34.861055,-7.781604,12.004,80.8
180.343188,24.876938,12.004,85.5
0.553313,-22.854406,12.004,98.2
62.060477,-15.254811,12.004,83.2
196.371567,-7.658638,12.004,85.2
45.727445,-12.865699,12.004,100.5
18.816301,-10.003861,12.004,135.0
47.373419,-43.588242,12.004,90.6
232.606255,17.092058,12.004,96.3
22.046884,-20.001614,12.004,86.6
349.228562,-30.235525,12.004,85.2
30.702264,-33.090969,12.004,75.8
61.086304,-16.311882,12.004,83.0
198.013610,48.632744,12.004,83.1
213.169619,52.054646,12.004,83.4
148.801889,42.103333,12.004,87.1
155.207812,32.496220,12.004,78.0
196.859040,9.692530,12.004,86.7
217.304266,3.834754,12.004,76.7
7.130486,-13.517522,12.004,115.5
231.358717,23.749088,12.004,87.7
2.207378,23.659826,12.004,83.3
59.839036,-18.640835,12.004,106.5
211.301892,22.067978,12.004,92.5
24.141756,-25.321289,12.004,90.8
21.277566,-42.970882,12.004,79.4
198.392214,25.455420,12.004,105.7
321.038115,-42.248768,12.004,80.1
199.566875,-12.167913,12.004,76.0
177.775577,38.579025,12.004,101.1
23.408945,-6.105719,12.004,91.2
162.997407,6.228856,12.004,126.0
32.718722,6.789038,12.004,84.7
70.764663,-45.780487,12.004,84.4
26.502796,-30.701471,12.004,79.7
30.779596,-0.016667,12.004,103.5
