ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
43.716758,53.522675,6.009,0.011,17.5,6.502,5.879,111,0.4930,0.1300,0.6230
37.969902,48.894520,6.009,0.015,38.6,6.860,5.725,111,0.8510,0.2840,1.1350
31.543396,46.859928,6.005,0.039,29.3,6.235,5.916,111,0.2300,0.0890,0.3190
268.702320,-17.665960,6.003,0.027,14.2,7.068,5.647,111,1.0650,0.3560,1.4210
269.226257,-18.020937,6.007,0.019,14.7,6.895,5.753,111,0.8880,0.2540,1.1420
266.320390,-18.253435,6.005,0.033,14.4,7.024,5.569,111,1.0190,0.4360,1.4550
266.812546,-12.937726,6.008,0.043,13.1,6.708,5.759,111,0.7000,0.2490,0.9490
266.764269,-12.479978,6.001,0.021,16.1,7.053,5.625,111,1.0520,0.3760,1.4280
267.666451,-14.330157,6.006,0.037,20.2,6.536,5.781,111,0.5300,0.2250,0.7550
268.668782,-14.537785,6.006,0.031,13.4,6.859,5.722,111,0.8530,0.2840,1.1370
261.532134,-14.283217,6.008,0.029,11.3,6.891,5.407,111,0.8830,0.6010,1.4840
262.919629,-15.360642,6.005,0.021,12.3,6.842,5.703,111,0.8370,0.3020,1.1390
307.906244,41.222507,6.001,0.011,11.5,6.498,5.748,111,0.4970,0.2530,0.7500
314.694713,40.505398,6.001,0.013,16.5,6.498,5.888,111,0.4970,0.1130,0.6100
313.097402,42.480240,6.004,0.039,10.8,6.532,5.897,111,0.5280,0.1070,0.6350
322.603789,41.620831,6.008,0.023,21.8,7.001,5.687,111,0.9930,0.3210,1.3140
318.013904,42.591351,6.007,0.009,12.6,6.747,5.783,111,0.7400,0.2240,0.9640
33.626587,49.084846,6.004,0.015,21.5,6.466,5.845,111,0.4620,0.1590,0.6210
27.124281,40.275349,6.004,0.027,18.0,6.723,5.686,111,0.7190,0.3180,1.0370
19.017023,36.938374,6.001,0.005,19.8,6.895,5.663,111,0.8940,0.3380,1.2320
58.596714,21.086449,6.003,0.009,21.5,6.798,5.821,111,0.7950,0.1820,0.9770
54.217539,17.222961,6.007,0.005,61.2,6.755,5.809,111,0.7480,0.1980,0.9460
37.196995,24.424038,6.006,0.009,15.1,6.607,5.843,111,0.6010,0.1630,0.7640
38.619735,23.501120,6.001,0.009,19.0,6.495,5.929,111,0.4940,0.0720,0.5660
37.930828,19.290890,6.005,0.005,12.4,6.535,5.877,111,0.5300,0.1280,0.6580
40.169103,15.686632,6.002,0.017,34.0,6.535,5.860,111,0.5330,0.1420,0.6750
153.759986,-48.794544,6.001,0.025,16.2,6.917,5.650,111,0.9160,0.3510,1.2670
148.890525,-53.531269,6.007,0.033,14.6,7.176,5.534,111,1.1690,0.4730,1.6420
114.113327,22.029715,6.005,0.017,37.3,6.801,5.794,111,0.7960,0.2110,1.0070
111.092733,19.304392,6.006,0.023,22.5,6.665,5.849,111,0.6590,0.1570,0.8160
92.601945,20.500816,6.007,0.017,17.6,6.792,5.794,111,0.7850,0.2130,0.9980
314.352841,42.992718,6.009,0.029,16.1,7.161,5.548,111,1.1520,0.4610,1.6130
316.401296,46.852207,6.008,0.005,13.4,6.927,5.726,111,0.9190,0.2820,1.2010
311.465495,47.359863,6.006,0.017,18.5,6.910,5.743,111,0.9040,0.2630,1.1670
310.662499,47.409164,6.009,0.021,14.3,6.481,5.895,111,0.4720,0.1140,0.5860
313.423328,46.044842,6.002,0.019,12.3,6.755,5.770,111,0.7530,0.2320,0.9850
159.071290,-49.038937,6.005,0.033,15.6,6.968,5.440,111,0.9630,0.5650,1.5280
160.243704,-45.062458,6.009,0.037,23.8,6.826,5.781,111,0.8170,0.2280,1.0450
157.781712,-37.957123,6.003,0.025,15.4,6.686,5.792,111,0.6830,0.2110,0.8940
161.390720,-40.393921,6.002,0.029,29.9,6.823,5.807,111,0.8210,0.1950,1.0160
155.678788,-41.408325,6.009,0.039,16.2,6.677,5.789,111,0.6680,0.2200,0.8880
