ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
262.983293,32.674946,0.07,0.07,0,17315599+3240298,5.724,0.015,0.023,198531.8,5.025,0.033,0.036,161774.5,4.801,0.015,0.021,108647.6,AEA,111,111,000,661666,28.5,0,0,0.6990,0.2240,0.9230
69.433439,-52.054962,0.07,0.06,0,04374402-5203178,5.766,0.021,0.027,149978.8,5.025,0.027,0.031,145851.2,4.711,0.017,0.023,106419.2,AAA,111,111,000,664656,33.5,0,0,0.7410,0.3140,1.0550
106.649217,-42.554596,0.07,0.06,90,07063581-4233165,5.899,0.013,0.021,119627.2,5.025,0.017,0.023,122718.5,4.678,0.019,0.024,98905.4,AAA,111,111,000,664655,38.9,0,0,0.8740,0.3470,1.2210
11.656546,68.014557,0.12,0.09,0,00463757+6800524,6.108,0.007,0.018,102148.0,5.025,0.031,0.034,118552.3,4.535,0.013,0.020,120898.2,AAA,111,111,000,665546,25.5,0,0,1.0830,0.4900,1.5730
17.950629,32.741676,0.07,0.06,90,01114815+3244300,5.847,0.017,0.024,183497.4,5.025,0.037,0.040,167459.6,4.775,0.011,0.018,111280.7,AAA,111,111,000,666666,28.4,0,0,0.8220,0.2500,1.0720
55.980494,-19.110971,0.08,0.07,90,03435531-1906394,5.457,0.007,0.018,253880.9,5.025,0.115,0.116,173344.5,4.837,0.013,0.020,98088.9,AEA,111,111,000,472666,38.0,0,0,0.4320,0.1880,0.6200
80.350661,20.741022,0.11,0.07,0,05212415+2044276,6.131,0.009,0.019,146227.8,5.025,0.001,0.015,185742.0,4.668,0.013,0.020,127121.8,AEE,111,111,000,662625,24.6,0,0,1.1060,0.3570,1.4630
102.998420,51.990692,0.06,0.06,90,06515962+5159264,5.659,0.025,0.030,196711.6,5.025,0.019,0.024,150976.7,4.853,0.021,0.026,107206.2,AAA,111,111,000,565656,50.9,0,0,0.6340,0.1720,0.8060
344.645940,-35.523186,0.09,0.09,0,22583502-3531234,5.193,0.033,0.037,312773.5,5.025,0.075,0.076,179436.2,4.786,0.015,0.021,102806.4,EEA,111,111,000,171736,26.7,0,0,0.1680,0.2390,0.4070
71.121197,-27.948887,0.07,0.06,90,04442908-2756559,5.524,0.013,0.021,247075.7,5.025,0.043,0.045,179436.2,4.878,0.011,0.018,116203.7,AAA,111,111,000,363666,20.7,0,0,0.4990,0.1470,0.6460
138.276413,40.886482,0.07,0.06,0,09130633+4053113,5.756,0.019,0.026,186221.6,5.025,0.013,0.020,185742.0,4.831,0.011,0.018,102098.7,AAA,111,111,000,664666,48.8,0,0,0.7310,0.1940,0.9250
233.054259,-41.275414,0.06,0.06,90,15321302-4116314,5.647,0.013,0.021,185622.2,5.025,0.019,0.024,145851.2,4.759,0.019,0.024,101816.9,AAA,111,111,d0d,664646,21.5,0,0,0.6220,0.2660,0.8880
40.710355,-28.151323,0.07,0.07,0,02425048-2809047,5.372,0.023,0.029,256230.0,5.025,0.045,0.047,140899.7,4.840,0.015,0.021,94497.4,EAA,111,111,000,263656,56.8,0,0,0.3470,0.1850,0.5320
157.136533,-50.095451,0.07,0.07,0,10283276-5005436,5.780,0.031,0.035,169992.6,5.025,0.005,0.016,206020.3,4.348,0.033,0.036,159301.6,AAE,111,111,00d,663616,22.2,0,0,0.7550,0.6770,1.4320
85.830128,10.501050,0.07,0.07,90,05431923+1030037,5.551,0.009,0.019,138685.2,5.025,0.017,0.023,114527.6,4.846,0.011,0.018,79071.5,AAA,111,111,000,776766,22.3,0,0,0.5260,0.1790,0.7050
301.618794,-70.348396,0.07,0.06,0,20062851-7020542,5.803,0.005,0.018,166429.4,5.025,0.007,0.016,131495.2,4.764,0.009,0.017,108597.5,AAA,111,111,000,665656,24.3,0,0,0.7780,0.2610,1.0390
210.080803,-5.707593,0.12,0.11,0,14001939-0542273,5.752,0.037,0.041,186908.9,5.025,0.075,0.076,167459.6,4.542,0.009,0.017,112103.7,AEA,111,111,000,661656,75.5,0,0,0.7270,0.4830,1.2100
124.220729,-53.626411,0.06,0.06,0,08165297-5337350,5.545,0.011,0.020,211071.7,5.025,0.013,0.020,156282.4,4.872,0.033,0.036,94977.3,AAA,111,111,d00,364666,22.4,0,0,0.5200,0.1530,0.6730
